Timepoint Sample,Experiment,Parent Culture,Reactor/Plate/Flask Number,Timepoint (#),Timepoint (h),Sample volume (mL),OD,D-glucose [g/L],acetic acid [g/L],citric acid [g/L],ethanol [g/L],formic acid [g/L],lactate [g/L],potassium dihydrogen phosphate [g/L],pyruvic acid [g/L],succinic acid [g/L],CDW_1 [g/L],CDW_2 [g/L],CDW_3 [g/L],Ammonium [g/L]
DDB_PD_122_AMBR_R05__S01,DDB_PD_122_AMBR,DDB_PD_122_AMBR_DDB35-006_R05_Main_,R05,S01,12.08848967,7.0,17.625,6.68584012140795,0.53138413388845,0.1667473365317565,0.0,0.43532989463194804,0.0,7.4508023153497005,0.0,0.0,5.800000000000027,5.900000000000016,6.000000000000005,
DDB_PD_122_AMBR_R05__S02,DDB_PD_122_AMBR,DDB_PD_122_AMBR_DDB35-006_R05_Main_,R05,S02,14.52519997,5.0,35.39,0.0,0.136030868405005,0.12367021501766501,0.0,0.0,0.0,5.4989460235252,0.0,0.0,10.200000000000209,10.299999999999976,10.499999999999954,
DDB_PD_122_AMBR_R05__S03,DDB_PD_122_AMBR,DDB_PD_122_AMBR_DDB35-006_R05_Main_,R05,S03,34.61832026,5.5,97.55,0.0,0.0,0.113590230327461,0.0,0.0,0.0,6.5687321467703494,0.0,0.0,11.99999999999979,23.8333333333333,22.83333333333341,
DDB_PD_122_AMBR_R05__S04,DDB_PD_122_AMBR,DDB_PD_122_AMBR_DDB35-006_R05_Main_,R05,S04,54.60223317,5.5,172.55,0.0,0.0,0.0,0.0,0.0,0.0,5.100446751546101,0.0,0.1521768400444575,53.49999999999988,52.49999999999999,52.799999999999955,
DDB_PD_122_AMBR_R05__S05,DDB_PD_122_AMBR,DDB_PD_122_AMBR_DDB35-006_R05_Main_,R05,S05,74.61088206,7.5,319.7,0.0,0.0,0.0,0.0,0.0,0.0,1.6659191107833298,0.0,0.221374850158336,92.8,90.79999999999998,90.89999999999998,0.790035380642889
DDB_PD_122_AMBR_R06__S01,DDB_PD_122_AMBR,DDB_PD_122_AMBR_DDB35-006_R06_Main_,R06,S01,12.13520004,7.0,17.765,5.407934225373,0.4540203651071525,0.09635939317425049,0.0,0.0,0.0,6.497998253136849,0.0,0.0,5.800000000000027,5.900000000000016,6.099999999999994,
DDB_PD_122_AMBR_R06__S02,DDB_PD_122_AMBR,DDB_PD_122_AMBR_DDB35-006_R06_Main_,R06,S02,14.50133347,5.0,36.29,0.0,0.1530242825288595,0.143238394072813,0.0,0.0,0.0,6.5479016153461505,0.0,0.0,10.299999999999976,10.399999999999965,10.499999999999954,
DDB_PD_122_AMBR_R06__S03,DDB_PD_122_AMBR,DDB_PD_122_AMBR_DDB35-006_R06_Main_,R06,S03,34.5615981,5.5,91.6,0.0,0.0,0.1257828529766965,0.0,0.0,0.0,6.35156902639435,0.0,0.0,24.166666666666597,24.666666666666544,18.499999999999815,
DDB_PD_122_AMBR_R06__S04,DDB_PD_122_AMBR,DDB_PD_122_AMBR_DDB35-006_R06_Main_,R06,S04,54.55051733,5.5,175.15,0.0,0.0,0.0,0.0,0.0,0.0,4.989139488719185,0.0,0.1248464766581265,133.29999999999998,52.200000000000024,52.199999999999804,
DDB_PD_122_AMBR_R06__S05,DDB_PD_122_AMBR,DDB_PD_122_AMBR_DDB35-006_R06_Main_,R06,S05,74.55972755,7.5,348.5,0.0,0.0,0.0,0.0,0.0,0.0,2.3780713262873348,0.0,0.287927092699343,83.79999999999987,84.7,83.89999999999986,0.912008519584132
