Geneid,IC1,IC2,PD_117_R10_S05#,PD_117_R11_S05#,PD_117_R12_S05#,PD_117_R13_S05#,PD_117_R14_S05#,PD_117_R15_S05#,PD_117_R16_S05#,PD_117_R5_S05#1,PD_117_R6_S05#1,PD_117_R7_S05#1,PD_117_R8_S05#1,PD_117_R9_S05#1,PD_121_R10_S05#,PD_121_R11_S05#,PD_121_R12_S05#,PD_121_R13_S05#,PD_121_R14_S05#,PD_121_R15_S05#,PD_121_R16_S05#,PD_121_R5_S05#2,PD_121_R6_S05#2,PD_121_R7_S05#2,PD_121_R8_S05#2,PD_121_R9_S05#2,PD_122_R10_S05#,PD_122_R11_S05#,PD_122_R12_S05#,PD_122_R13_S05#,PD_122_R14_S05#,PD_122_R15_S05#,PD_122_R16_S05#,PD_122_R5_S05#2,PD_122_R6_S05#2,PD_122_R7_S05#2,PD_122_R8_S05#1,PD_122_R9_S05#2,PD_123_R10_S05#,PD_123_R11_S05#,PD_123_R12_S05#,PD_123_R13_S05#,PD_123_R14_S05#,PD_123_R16_S05#,PD_123_R5_S05#1,PD_123_R6_S05#1,PD_123_R7_S05#1,PD_123_R8_S05#1,PD_123_R9_S05#1
b0001,11.00252704,12.73259424,11.08166537,10.26882575,10.23332922,9.989377586,10.28113065,9.962699883,9.636619867,11.05267315,10.98991167,11.09229917,10.9231312,11.26752727,10.94369043,10.81736824,11.20948287,10.55144522,10.19494851,11.12273159,11.19475193,12.79731365,11.8311026,12.56740859,10.84546877,10.62475312,10.87812402,11.19290878,11.79894003,10.572,10.75593614,11.59927229,11.08883331,12.51807197,11.80117364,11.52580878,12.41928175,10.64051186,11.15519539,11.45829658,11.26759263,10.08549946,9.882721807,11.32607867,11.54625159,11.0099415,10.54735421,10.25277463,11.10975617
b0002,11.22056868,10.73832832,7.645440155,9.522497476,9.117752658,9.139082699,10.19715336,9.574051091,9.451363396,7.754346515,7.821709136,7.905214671,7.772760001,7.565976801,8.958163108,8.149490383,8.073434197,7.571751717,8.156982011,7.939145318,8.134228943,7.442674478,7.738538177,7.127700664,7.832066035,8.151259066,8.369902785,8.181164868,8.001809976,7.619234129,8.179741206,7.742226167,7.627978848,7.450285538,7.796623732,7.081872576,7.329299528,8.219872814,9.778880578,8.198950458,8.182045936,7.73295318,8.183371767,8.484266346,7.723272729,8.288263538,7.555798226,7.769895148,8.184394752
b0003,10.43538134,10.16101848,7.640768533,9.083923123,8.782278423,8.742474048,9.637225726,9.655356394,9.667506084,7.602189178,7.711154599,7.781399296,7.776328858,7.781513312,9.052496489,7.991726598,7.941987897,7.738916257,8.067967238,7.68308306,7.579197333,7.578275871,7.550487888,7.696793989,8.048469937,7.968703727,8.559329271,7.873566701,7.80990653,7.909355568,7.95740651,7.472492689,7.081617985,7.548537202,8.012508628,7.684911564,7.879136412,8.038398969,8.990238408,7.915476426,7.838648736,7.802649059,8.140786769,7.628948184,7.64419697,7.717264872,7.675395232,7.81530519,7.931423911
b0004,9.771226534,9.804737823,7.38326402,8.404835019,8.363498084,8.21547754,9.037702786,9.027710154,9.083591519,7.274508822,7.244816158,7.338556245,7.570289075,7.632955365,9.02079061,7.627757989,7.552798384,7.406188661,7.798400766,7.247001756,7.6014574,7.167143841,7.331382657,7.338941089,7.472320849,7.694199534,8.373918052,7.549146074,7.45602506,7.302630062,7.780045041,7.015931328,6.974245647,7.179748093,7.881647703,7.307277462,7.346193128,7.653090666,7.853012071,7.717659487,7.650118662,7.34847808,7.94432432,7.537017429,7.25530958,7.627115577,7.229710325,7.430126965,7.605211422
b0005,5.65398741,5.586374603,4.077731829,5.696586367,5.560235618,5.819425116,5.957660086,6.105837594,5.817777492,3.851236801,4.256504076,3.998828369,3.815343278,3.77205538,5.94760167,6.012667043,5.824763888,3.841057402,3.998836706,4.596360165,5.070244077,4.125691801,4.053551796,4.485209893,4.09318133,4.84252978,5.200447905,6.084625515,5.504742443,3.918486651,3.809804036,4.54330507,4.683096208,3.935906061,4.352743862,4.613781052,4.03872074,5.011440415,4.925264812,5.964757823,5.553585163,4.239501366,4.500222755,4.855211248,3.685819918,3.750354408,4.06794041,3.901692207,4.822041597
b0006,6.297530885,6.369357991,5.828887316,5.493464567,5.609610807,5.431792242,5.687641758,5.664610106,5.863990458,5.570776895,5.525340287,5.7217502,5.885024143,5.926879396,5.695622531,6.195407309,6.500067729,5.572994703,5.709776381,6.31819917,6.582720858,5.687936763,5.911856362,5.478339047,5.660969212,5.685713405,5.917457987,6.141693717,6.135357567,5.472386512,5.531267416,6.365907636,6.662870636,5.67312819,5.693102083,5.392359322,5.489347143,5.506800347,5.791934499,6.075867211,5.99316878,5.638876135,5.598768213,6.577806704,5.781324205,5.936457843,5.513346237,5.48112485,5.685593
b0007,3.792916013,3.821255169,3.655180385,3.857562712,3.733863477,3.795602976,3.761116722,3.595342009,3.549772266,3.525132115,3.671381204,3.816356525,3.680555334,3.561954934,3.704276116,2.887216561,2.885553973,3.640465145,3.621241197,3.937385561,3.848875621,3.663890468,3.851496392,3.670888766,3.409632948,3.776561274,3.383659671,3.172625649,3.048882016,3.808661313,3.760664411,3.879440287,3.933057677,3.440187429,3.544976693,3.469560682,3.368190432,3.734761605,3.636336395,2.952509666,2.89758347,3.745770599,3.515570828,3.891869027,3.72209957,3.762027046,3.743288566,3.519709703,3.987173528
b0008,10.32663685,10.10069003,10.00846866,10.53975101,10.60048458,10.58642568,10.92552703,10.87154679,10.92607864,9.907968956,9.900071306,9.929520418,9.88101315,9.897070014,10.31984137,10.59064502,10.64884609,9.511850208,9.569002716,10.05658481,10.11320757,9.70847742,9.86023736,9.432357364,9.685335503,9.931494054,10.4321859,10.63339487,10.59009519,9.445566289,9.503384151,9.998880123,10.19832038,9.86717318,9.86227273,9.468825046,9.470692242,9.875917387,10.41136494,10.62558837,10.60554741,9.4777656,9.689499967,10.1437679,9.844617284,9.913424639,9.624622395,9.696783468,9.770066229
b0009,5.387299923,5.239432586,5.219202535,5.763715366,5.876281859,5.78466559,6.236231242,6.270200459,6.26005099,5.102582811,5.143399906,5.247656894,5.51173472,5.325500622,5.828237866,5.362229182,5.218406623,5.479852797,5.69506006,5.232146547,5.590030236,5.012753154,5.29436469,5.340722746,5.665799355,5.348798987,5.661314557,5.386270867,5.431582162,5.543757655,5.756630649,4.950235213,5.622034976,4.995480105,5.352763969,5.279097962,5.736667599,5.224867993,5.617136527,5.347894496,5.406851212,5.511436293,5.642509157,5.563473903,5.026070445,5.174737179,5.401003753,5.484261466,5.272113973
b0010,4.339480058,5.142622185,6.09091898,5.919390762,5.818085279,5.658988863,5.713791842,5.5110992,5.707218969,6.010570308,5.994719825,5.840096896,5.993623874,6.111271509,5.955689353,5.134550775,5.45584128,5.956520492,6.12602011,6.227543725,6.372153772,6.231366744,6.487099527,6.23134263,5.893309676,5.778654129,6.060408011,5.408923256,5.607107622,5.939165744,6.097228079,6.511300056,6.446531447,6.010130571,6.239137602,6.132434015,6.44098557,5.584733877,5.735205499,5.38764599,5.669266955,5.686877615,5.874856691,6.319289117,5.82786677,6.148908303,5.737971226,5.9704983,5.688268483
b0011,2.475599228,2.795119538,2.736374618,2.784861686,2.888248053,2.866486706,2.630807704,3.056494718,2.617345231,2.744983606,2.764639958,2.570517492,2.353364265,2.591536556,2.597237072,2.350016686,2.626941854,2.923136424,2.564469109,2.8935446,2.901912122,2.802011525,2.567665088,2.879184783,2.792213851,2.423558158,2.595440412,2.583940135,2.289399947,2.705192811,2.68200182,2.401767419,2.78000081,2.687929843,2.666119655,2.900805228,2.682975639,2.62674211,2.230312743,2.460324322,1.907353136,2.612574604,2.412398232,2.906774638,2.654968035,2.541125892,2.648871143,2.628528761,2.220755867
b0012,0.740035723,0,0.604136081,0.669174405,0.848536852,0.657930391,0.98421912,1.229074248,1.349280907,0.597452123,0.226873313,0.428262931,0.235848184,0,0.638374824,0.662363833,0.263222308,1.337710557,0.7693672,0,0.780598546,0.630917731,0.613344674,0.951572853,0.637651634,0.439633092,0.245189315,0.673637188,0.86085214,0.427800609,0.61409609,1.262301482,0.62185634,0.63968234,0,0.828432888,0.87849587,0.234934243,0.458495956,0.474236753,0.489737137,0.423994323,0.754199621,0.243212007,0.771997554,0.235171537,0.75568988,0.240413987,0.780064627
b0013,1.003836641,0.865091864,1.413712315,1.846680239,1.766392212,1.388404007,1.840990704,1.912703454,1.627419528,0.496138824,1.015622608,1.026330724,1.046556144,0.882922515,1.079394785,0.764862823,0.971405787,0.26743577,0.508644849,1.530862137,1.656967783,0.52490597,1.042366583,0.534370818,1.078329236,0.714809817,0.917769183,0.308052936,0.574989302,0.500004056,0.886712405,0.704386388,1.197393354,1.357473753,1.067743603,1.113455892,0.323701251,0.886663187,0.742778335,1.263670927,0.788719291,0.863881906,1.28809908,0.526769819,1.04365863,0.711378647,1.162976836,0.903340419,0
b0014,8.816225085,8.931682716,9.347222015,10.18250749,10.14504222,10.20348629,10.24188498,9.981437295,10.05321585,9.208984684,9.340617836,9.273554587,9.335756883,9.473496977,10.32310369,9.518933218,9.314052957,9.470749204,9.653037879,9.976298788,10.30170209,9.139544873,9.389714714,9.20844359,9.64948806,10.07970726,10.37868427,9.534613894,9.1958083,9.183424564,9.474677662,9.964007579,10.15622059,8.947932095,9.355524565,9.127473525,9.433189762,10.04536156,10.39693904,9.484280778,9.331724771,9.337228832,9.604461735,10.01506868,9.182393222,9.545898236,9.342075301,9.609172461,9.959284131
b0015,6.496323812,6.618999658,7.030843556,7.643172103,7.773386639,7.78132289,7.674442928,7.521099923,7.621775314,7.019565251,7.211724813,7.132419789,7.24166778,7.262033277,7.631620183,7.214062893,7.032027006,7.17010203,7.242804706,7.698716034,7.822790682,6.978273473,7.0582142,7.036443969,7.341718315,7.474863446,7.454583469,7.303861683,7.010264986,7.00464852,7.278744741,7.562693198,7.515077728,6.99366699,7.222018072,7.166646667,7.206808866,7.542477534,7.528142121,7.197171998,7.130522736,7.131037772,7.245186321,7.527120947,7.065626382,7.061004943,7.186458948,7.302431611,7.38202968
b0016,5.363415206,5.075999389,5.441820881,6.959281707,6.969127915,7.113826721,6.60914791,6.77699566,6.770048885,5.252221536,5.344630145,5.252662507,5.363551413,5.33052396,5.451993803,7.736595044,7.79577254,5.534671903,5.561391783,5.45732655,5.672300003,5.175158932,5.363745528,5.493313937,5.423067756,5.351353651,5.414757829,7.812612035,7.682728669,5.569824902,5.638344988,5.617639181,5.669097154,5.221246328,5.278461557,5.289399261,5.20116827,5.531488078,5.398010168,7.791695848,7.773994105,5.465554842,5.536904953,5.686897786,5.209363903,5.39141237,5.521726276,5.477318226,5.451154755
b0018,3.519762046,3.687258839,4.670892721,4.913472364,5.400161545,5.644777677,4.905848162,4.922684697,4.911937285,5.255609528,5.006071351,4.81735518,5.13398285,5.294846552,5.666912372,4.633607315,4.418299959,5.87625821,5.909397779,4.353021726,4.35897385,5.571323808,5.572655571,6.176509971,5.664928768,5.236095514,5.58973121,4.739192339,4.38069412,5.789772841,5.782149274,4.636577941,4.829614436,5.037954693,5.557207214,6.329893115,6.044490658,5.07652008,5.411362289,4.609855552,4.462490751,5.59808914,5.863233586,4.268532099,4.948944919,4.891495118,5.73277777,5.828171187,5.213392648
b4412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b0019,6.707101807,7.450969421,7.062786633,6.476855866,6.617629166,6.422623463,6.157796217,6.096211497,6.074557918,7.529395909,7.478739269,7.545467254,7.214116955,7.294544106,6.461919328,5.038647124,5.10191192,6.976061863,6.886142948,8.180148667,7.841226336,7.649709746,7.409459761,7.148534281,6.787661538,6.896911011,6.312131555,4.987797088,5.278381851,7.083461903,6.997322034,8.495858763,7.778061809,7.363427117,7.26037648,7.061101279,6.764491061,6.868549377,6.290498348,5.16701389,5.252316208,6.840551593,6.867264009,7.739729852,7.447098571,7.1554712,6.870006658,6.969234728,7.035907152
b0020,6.29088335,6.249707578,6.042395869,6.055965924,5.946425531,6.06875156,5.860294154,5.665390388,5.679012805,6.10226277,6.124889011,6.13812497,6.060373912,6.068833145,5.465702611,5.01614828,5.216579902,5.717577058,5.811899155,6.841176097,6.749100583,5.936030663,5.825349637,5.560502237,5.655125876,5.668989036,5.369636426,5.026923449,5.192577881,5.736298555,5.78591084,6.815229587,6.693735907,5.798964094,5.875834685,5.876235774,5.567989843,5.740445251,5.351738769,5.059999749,5.246682976,5.751440836,5.700934699,6.801131432,6.000272726,5.919995051,5.791258915,5.672342882,5.785298815
b0021,1.196960583,1.313374234,2.666591458,2.142254257,1.888411696,1.080222689,1.706611051,1.687950844,1.20539206,3.259292391,3.349928116,3.392065961,3.679949258,3.77801223,1.479742836,1.699309822,1.642972527,0.408517563,1.130193415,1.887293896,1.70029323,3.130611453,2.726762026,1.486069242,1.382852299,1.530793383,0.619081326,1.33926831,1.363971568,1.320681186,1.016708475,0.882068099,1.449973664,3.722026742,3.418082537,1.319675581,1.6885876,1.341890262,0.927417709,1.858771117,1.652438429,1.106364865,1.316078632,1.37495722,3.277998025,3.118120689,1.498553241,1.262339205,1.448363448
b0022,3.977468905,2.541412614,5.612512267,3.82407481,3.394610764,3.437688447,3.744420618,4.215886892,3.692018839,5.566040146,5.504003288,5.485994928,5.72554813,5.614625269,3.636216314,3.536317502,3.394531541,2.921224418,3.321082712,3.015415938,3.345425847,5.464166052,5.361600084,2.983201763,2.972834704,3.37988346,3.293863098,3.520893167,3.211498325,3.649450495,3.083131821,3.439926793,3.253938471,5.599599494,5.235476105,2.692430865,2.862899885,3.495273385,3.983861651,3.150715237,3.454720442,3.090807075,3.097169746,3.544758127,5.778513529,5.624165162,2.819924531,3.313309175,3.344273604
b0023,10.95959793,11.59046261,10.69072372,9.977978551,10.07477082,9.920844525,10.29236187,10.22037256,10.43505494,10.47859328,10.32060066,10.40703832,10.6705074,10.70130149,10.78603161,10.28431623,10.77445671,10.21958617,10.37234417,10.83824556,11.39421744,10.90512955,10.90305083,10.88802814,10.40805702,10.33248397,10.63001346,10.38258109,10.74481127,10.14922794,10.29854763,10.90667891,11.48174383,10.86153467,10.8420539,10.83793532,10.71951073,10.25489784,10.22636431,10.33423916,10.26599983,9.900420718,10.12857636,11.26714507,10.33898112,10.56875542,10.05010775,10.13050531,10.14488676
b0024,5.107058204,4.971893256,5.041364095,5.829837308,5.652694346,5.533165503,5.788485921,5.750624893,5.277409302,5.16651357,5.098313597,4.759004926,5.075201054,5.027271643,4.612802437,4.601400587,4.963677966,5.529734524,5.366640026,5.410916932,5.293978743,4.974219056,5.226795777,5.128943045,4.771499417,5.312503448,4.704707994,5.178564989,4.948744126,5.41778573,5.167209106,5.651863678,5.280489056,4.840700248,5.19682371,5.215380704,5.127531389,5.086076985,4.762971884,4.903656802,4.802659637,5.503093107,5.216944482,5.266399535,5.167541306,5.274940676,5.334140364,5.308560482,5.121916851
