,sample,study,project,condition,rep_id,Strain Description,Strain,Culture Type,Evolved Sample,Base Media,Temperature (C),pH,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Antibiotic for selection,Growth Rate (1/hr),Isolate Type,Additional Details,project_reference,Sequencing Machine,LibraryLayout,Platform,Biological Replicates,doi,GEO,SRX,Run,R1,R2,contact,creator,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates,run_date,n_replicates,data_source
ddb_sd_00001,IC1,Control,control,wt_glc,1,Escherichia coli K-12 BW25113 del_fhuA,BW25113,Batch,No,M9,37,7,glucose,NH4OH,O2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddb_sd
ddb_sd_00002,IC2,Control,control,wt_glc,2,Escherichia coli K-12 BW25113 del_fhuA,BW25113,Batch,No,M9,37,7,glucose,NH4OH,O2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddb_sd
ddb_sd_00003,PD_117_R10_S05#,DDB feast-famine scale-down,ddb_ff_sd,DDB35 C-starv,3,Escherichia coli K-12 BW25113 del_fhuA,DDB35,Fed-batch,No,DDB_BM_016,30,6.5,glucose,NH4OH,O2,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,ddb_sd
ddb_sd_00010,PD_117_R5_S05#1,DDB feast-famine scale-down,ddb_ff_sd,DDB35 C-lim,1,Escherichia coli K-12 BW25113 del_fhuA,DDB35,Fed-batch,No,DDB_BM_016,30,6.5,glucose,NH4OH,O2,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,ddb_sd
ddb_sd_00011,PD_117_R6_S05#1,DDB feast-famine scale-down,ddb_ff_sd,DDB35 C-lim,2,Escherichia coli K-12 BW25113 del_fhuA,DDB35,Fed-batch,No,DDB_BM_016,30,6.5,glucose,NH4OH,O2,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,ddb_sd
ddb_sd_00012,PD_117_R7_S05#1,DDB feast-famine scale-down,ddb_ff_sd,DDB35 C-lim,3,Escherichia coli K-12 BW25113 del_fhuA,DDB35,Fed-batch,No,DDB_BM_016,30,6.5,glucose,NH4OH,O2,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,ddb_sd
ddb_sd_00013,PD_117_R8_S05#1,DDB feast-famine scale-down,ddb_ff_sd,DDB35 C-starv,1,Escherichia coli K-12 BW25113 del_fhuA,DDB35,Fed-batch,No,DDB_BM_016,30,6.5,glucose,NH4OH,O2,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,ddb_sd
ddb_sd_00014,PD_117_R9_S05#1,DDB feast-famine scale-down,ddb_ff_sd,DDB35 C-starv,2,Escherichia coli K-12 BW25113 del_fhuA,DDB35,Fed-batch,No,DDB_BM_016,30,6.5,glucose,NH4OH,O2,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,ddb_sd
ddb_sd_00015,PD_121_R10_S05#,DDB feast-famine scale-down,ddb_ff_sd,SDT178 C-starv,1,Escherichia coli K-12 BW25113 del_fhuA del_cra,SDT178,Fed-batch,No,DDB_BM_016,30,6.5,glucose,NH4OH,O2,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,ddb_sd
ddb_sd_00016,PD_121_R11_S05#,DDB feast-famine scale-down,ddb_ff_sd,SDT180 C-lim,1,Escherichia coli K-12 BW25113 del_fhuA del_rpoS,SDT180,Fed-batch,No,DDB_BM_016,30,6.5,glucose,NH4OH,O2,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,ddb_sd
