Geneid,IC1,IC2,PD_117_R10_S05#,PD_117_R11_S05#,PD_117_R12_S05#,PD_117_R13_S05#,PD_117_R14_S05#,PD_117_R15_S05#,PD_117_R16_S05#,PD_117_R5_S05#1,PD_117_R6_S05#1,PD_117_R7_S05#1,PD_117_R8_S05#1,PD_117_R9_S05#1,PD_121_R10_S05#,PD_121_R11_S05#,PD_121_R12_S05#,PD_121_R13_S05#,PD_121_R14_S05#,PD_121_R15_S05#,PD_121_R16_S05#,PD_121_R5_S05#2,PD_121_R6_S05#2,PD_121_R7_S05#2,PD_121_R8_S05#2,PD_121_R9_S05#2,PD_122_R10_S05#,PD_122_R11_S05#,PD_122_R12_S05#,PD_122_R13_S05#,PD_122_R14_S05#,PD_122_R15_S05#,PD_122_R16_S05#,PD_122_R5_S05#2,PD_122_R6_S05#2,PD_122_R7_S05#2,PD_122_R8_S05#1,PD_122_R9_S05#2,PD_123_R10_S05#,PD_123_R11_S05#,PD_123_R12_S05#,PD_123_R13_S05#,PD_123_R14_S05#,PD_123_R15_S05#,PD_123_R16_S05#,PD_123_R5_S05#1,PD_123_R6_S05#1,PD_123_R7_S05#1,PD_123_R8_S05#1,PD_123_R9_S05#1
b0001,11.002527036236737,12.732594243717546,11.081665369548077,10.268825745495251,10.233329215336537,9.989377585670786,10.281130649557479,9.962699882584465,9.63661986703826,11.052673148385791,10.989911670754717,11.092299165748782,10.923131200493959,11.267527269490854,10.943690433873858,10.817368237604999,11.209482874582184,10.551445219606224,10.194948506130025,11.122731591679761,11.194751926828156,12.797313652259666,11.831102600691143,12.567408587781959,10.845468768566732,10.624753118485636,10.87812401867208,11.192908784970946,11.79894003390293,10.572000003324826,10.75593614168835,11.599272287095172,11.088833308571067,12.51807196893881,11.801173643100604,11.525808780305995,12.419281752139172,10.640511858144805,11.15519538725262,11.458296584305836,11.267592627397304,10.085499462937888,9.88272180707683,8.941416273157,11.326078667166035,11.546251585304352,11.0099415044845,10.547354207940533,10.25277463470478,11.109756171862493
b0002,11.220568679469931,10.738328321094366,7.6454401545660255,9.522497475564021,9.117752658018505,9.1390826992492,10.197153364024203,9.574051091423101,9.451363395597902,7.754346514801754,7.821709136046229,7.905214671041359,7.772760001105033,7.565976801447743,8.958163108459196,8.149490382734088,8.073434196704733,7.571751716621291,8.156982010893204,7.939145318442355,8.13422894318867,7.442674477692733,7.7385381770623445,7.127700663583588,7.832066035445134,8.15125906582216,8.369902784948016,8.181164867788038,8.001809975778448,7.61923412933137,8.17974120637244,7.742226166824438,7.627978847524478,7.4502855376626576,7.796623731680467,7.08187257598678,7.329299527511622,8.219872814326095,9.77888057754793,8.198950457891959,8.182045936302256,7.732953180406235,8.183371766582141,7.7900599729728,8.484266345806473,7.723272728794865,8.288263538229982,7.555798226326192,7.769895147795249,8.184394751902557
b0003,10.435381341556976,10.161018482915669,7.640768532665584,9.083923123401068,8.782278423302497,8.742474048405395,9.637225726326593,9.655356393946768,9.667506084320067,7.602189177668752,7.711154599389638,7.781399295565766,7.776328857931197,7.781513311504848,9.052496488888487,7.991726598002938,7.94198789730726,7.738916256733961,8.067967238429508,7.683083059580588,7.579197333441798,7.578275870553638,7.55048788779669,7.6967939890886266,8.048469936923993,7.96870372684139,8.55932927069919,7.8735667013670305,7.809906529727354,7.909355567715026,7.957406509736886,7.472492689190014,7.081617985189593,7.548537201639565,8.012508627878352,7.684911563602726,7.879136411695604,8.038398969126424,8.990238408434386,7.915476425636385,7.838648735852063,7.8026490594531746,8.140786769488512,7.51383809677777,7.62894818425156,7.644196969780162,7.717264872372751,7.675395232449063,7.815305189821688,7.931423911318513
b0004,9.77122653437865,9.804737822615778,7.383264020313665,8.40483501899064,8.363498084176989,8.21547753951419,9.037702785502356,9.02771015372678,9.083591518568447,7.274508822341245,7.2448161581357455,7.3385562454943685,7.570289074726463,7.632955364641189,9.020790610026861,7.6277579891641505,7.552798383565195,7.406188661196783,7.798400765617484,7.247001755801724,7.601457399678049,7.167143840601889,7.331382656597232,7.338941088866298,7.472320849355281,7.694199533761631,8.373918051846687,7.549146073910273,7.456025060094019,7.302630062267673,7.780045041186628,7.01593132790603,6.9742456466745955,7.179748092674114,7.881647702875656,7.30727746155047,7.3461931278140735,7.653090665792894,7.8530120706252555,7.717659487085128,7.650118662441636,7.3484780796300555,7.944324320115878,6.5389911835970445,7.537017429394217,7.255309579841785,7.627115576822992,7.229710325286319,7.4301269647153605,7.605211422391872
b0005,5.653987409860691,5.586374603274646,4.077731828512139,5.696586366761182,5.5602356182165655,5.819425115895374,5.957660086221991,6.105837593929905,5.817777491737691,3.851236800666725,4.256504076189401,3.998828369020293,3.8153432781261682,3.7720553801436325,5.947601669774171,6.012667043389953,5.824763887621856,3.841057402151661,3.9988367057817986,4.596360164622765,5.0702440774877475,4.125691800532626,4.053551795609772,4.485209893473492,4.093181329615328,4.842529780017345,5.200447904802741,6.08462551471894,5.504742443373027,3.9184866511040686,3.8098040361724768,4.543305070088154,4.6830962079996015,3.935906061067643,4.352743861533689,4.613781051595545,4.038720740035811,5.01144041491697,4.925264812365317,5.964757823412876,5.553585162869495,4.239501366041548,4.5002227552992125,4.676019183037908,4.855211247619328,3.6858199183659615,3.7503544082913605,4.06794041032723,3.901692207433505,4.822041596658876
b0006,6.297530884981208,6.3693579912631355,5.828887316405145,5.493464567446017,5.609610806515183,5.431792241846015,5.687641758072019,5.664610105645526,5.8639904580478905,5.5707768948054515,5.5253402868547585,5.7217501997976274,5.8850241425784064,5.926879396346998,5.695622530573983,6.19540730903726,6.500067728589312,5.5729947027632765,5.709776380991332,6.318199169758991,6.582720857556132,5.687936762706079,5.911856361637962,5.4783390468360995,5.660969211890354,5.685713404976344,5.917457986698016,6.1416937167883265,6.1353575668737586,5.472386512493105,5.531267416405098,6.3659076356306485,6.662870635744409,5.673128189744542,5.6931020826578145,5.392359322092962,5.489347142546279,5.506800346923948,5.7919344993801465,6.0758672114192915,5.993168780005289,5.638876134724078,5.598768213067682,3.569451864219398,6.577806703945406,5.781324204704456,5.936457843370603,5.513346236897808,5.481124850054092,5.6855930003745945
b0007,3.7929160128865003,3.821255168652855,3.6551803845812776,3.857562712073484,3.7338634768899785,3.795602975659558,3.7611167223959616,3.5953420092568615,3.549772265791274,3.525132115165017,3.671381204417046,3.8163565251801206,3.680555333728237,3.5619549336072565,3.704276116467962,2.8872165610493883,2.885553973267898,3.6404651448876173,3.6212411967774827,3.937385561003246,3.848875621148023,3.6638904675342445,3.8514963924476717,3.6708887659008735,3.4096329482582837,3.7765612744709673,3.3836596712513267,3.1726256493185234,3.048882015668207,3.8086613134522307,3.760664410838013,3.8794402873408838,3.9330576771360573,3.4401874288376106,3.544976693251492,3.4695606817718856,3.368190432158378,3.734761604901718,3.6363363952770253,2.952509665701513,2.8975834703098653,3.7457705987388974,3.515570828209164,4.4370109608074095,3.891869027385663,3.722099570224437,3.7620270460765277,3.7432885659234363,3.5197097028169315,3.987173528142181
b0008,10.326636846842858,10.1006900349991,10.008468659270575,10.539751014904803,10.600484579122428,10.586425679469418,10.925527025132444,10.871546789133093,10.926078644485944,9.907968956082804,9.900071305904527,9.92952041830566,9.88101315042195,9.897070014314686,10.319841370533275,10.590645020678148,10.648846091318104,9.511850208111284,9.569002715719805,10.056584809460935,10.113207566120884,9.708477419543208,9.860237360398129,9.432357363754804,9.685335503366202,9.931494054359584,10.432185903140292,10.633394867937733,10.590095194889438,9.445566289439673,9.503384150596998,9.998880123221925,10.19832037880146,9.867173180060911,9.862272729988875,9.468825046406836,9.470692242101002,9.875917386675075,10.411364942912419,10.62558836550705,10.605547411607464,9.477765600487235,9.689499966599021,9.752962995223601,10.143767901493307,9.84461728383909,9.91342463909721,9.624622394502437,9.696783468440644,9.770066228580681
b0009,5.387299923150519,5.239432586265,5.219202534855866,5.763715366355777,5.876281859302738,5.784665589677897,6.236231241864018,6.270200458843152,6.260050989585126,5.1025828114762355,5.143399905740632,5.247656893709299,5.51173471962708,5.325500621762053,5.828237865617302,5.362229182277113,5.218406622778842,5.479852797355404,5.695060059568984,5.23214654698748,5.590030236129226,5.012753154460182,5.294364689607575,5.34072274575215,5.665799354560935,5.348798987234749,5.661314557250935,5.386270866519747,5.4315821618894615,5.543757654508317,5.7566306494485,4.950235212600627,5.622034976037829,4.995480104880559,5.352763968616805,5.279097962003795,5.736667599060425,5.224867992921844,5.6171365268311035,5.34789449561242,5.4068512119603325,5.511436292626872,5.642509157061465,7.340517385399413,5.563473902639198,5.026070445073617,5.174737178500993,5.401003753323833,5.484261465748621,5.2721139727670145
b0010,4.33948005751325,5.142622184848624,6.090918979636432,5.919390762306114,5.818085279383643,5.658988863441552,5.713791841712422,5.511099199759511,5.707218968782981,6.010570307865249,5.9947198254373495,5.840096896087096,5.99362387402898,6.111271509216547,5.955689352945173,5.134550775099641,5.455841280295521,5.956520492236559,6.126020109930204,6.227543724999646,6.3721537715346175,6.23136674407392,6.4870995265582,6.231342629901835,5.893309676449005,5.7786541289809294,6.0604080105996365,5.408923255782336,5.607107622263635,5.93916574444464,6.097228079378506,6.511300055512227,6.446531446907392,6.010130571366416,6.239137602302265,6.132434015255841,6.4409855702005565,5.584733877470542,5.735205499241899,5.387645989944864,5.669266955259234,5.6868776145020075,5.874856691177561,6.935967680055818,6.319289116979505,5.827866769765967,6.148908303098997,5.73797122609475,5.970498299821121,5.6882684826129655
