Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed
IC1	12027300	9559401	57116	441736	0	0	0	0	323	0	0	0	0	1450435	472056	46233	79.4808560524806	12027300.0	11585564.0	96.33	441736.0	3.67	IC1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12027300.0	0.0	20-100	52.0	22.168678580153905	99.20251112053413	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	12028293	4137147	12028293	1202829300	606590	1196309923	0.5420035078959251	0.0192	0.4655	0.5153
IC2	12008233	8343711	62859	484821	0	0	0	0	391	0	0	0	0	2700494	375566	40391	69.48325369769223	12008233.0	11523412.0	95.96	484821.0	4.04	IC2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12008233.0	0.0	20-100	51.0	20.145467540903876	99.16151560350303	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	12008696	4214335	12008696	1200869600	595927	1194291595	0.547770132577259	0.016	0.5138	0.4702
PD_117_R10_S05#	12144714	8346938	74007	454135	0	0	0	0	472	0	0	0	0	2771517	460327	37318	68.728979537929	12144714.0	11690579.0	96.26	454135.0	3.74	PD_117_R10_S05#_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12144714.0	0.0	20-100	51.0	20.47241443776196	99.22763780192766	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	12144916	3825985	12144916	1214491600	818223	1208410620	0.5007016927906294	0.0192	0.4748	0.506
PD_117_R11_S05#	12074325	8216070	40853	1026782	0	0	0	0	353	0	0	0	0	2332799	420143	37325	68.04579137964234	12074325.0	11047543.0	91.5	1026782.0	8.5	PD_117_R11_S05#_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12074325.0	0.0	20-100	51.0	21.05810934156123	99.14574090063006	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	12074738	4194274	12074738	1207473800	817576	1200762220	0.5558364910277971	0.0203	0.4785	0.5012
PD_117_R12_S05#	12002410	7936354	50402	993189	0	0	0	0	280	0	0	0	0	2584949	401503	35733	66.12300363010428	12002410.0	11009221.0	91.73	993189.0	8.27	PD_117_R12_S05#_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12002410.0	0.0	20-100	52.0	21.00347459756828	99.18287693888144	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	12002784	4164256	12002784	1200278400	642887	1193788080	0.5407345495844964	0.0193	0.488	0.4927
PD_117_R13_S05#	12027986	8385113	39147	961585	0	0	0	0	444	0	0	0	0	2169932	428134	43631	69.71335849576147	12027986.0	11066401.0	92.01	961585.0	7.99	PD_117_R13_S05#_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12027986.0	0.0	20-100	52.0	21.32579165686675	99.30992154463765	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	12028152	3695582	12028152	1202815200	341443	1197698133	0.4254242048155028	0.0203	0.4728	0.507
PD_117_R14_S05#	12013100	8465151	43696	882856	0	0	0	0	420	0	0	0	0	2167449	413310	40218	70.46599961708469	12013100.0	11130244.0	92.65	882856.0	7.35	PD_117_R14_S05#_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12013100.0	0.0	20-100	51.0	20.413311125332708	99.17359649049789	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	12013443	4154899	12013443	1201344300	579355	1194931165	0.5338298937282177	0.02	0.4797	0.5004
PD_117_R15_S05#	12041766	8632821	35927	917691	0	0	0	0	466	0	0	0	0	1962508	451195	41158	71.69065567293038	12041766.0	11124075.0	92.38	917691.0	7.62	PD_117_R15_S05#_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12041766.0	0.0	20-100	52.0	21.772770628266137	99.19538429828316	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	12042611	4352463	12042611	1204261100	347282	1198394965	0.4871148789909431	0.0208	0.4697	0.5095
PD_117_R16_S05#	12013589	8601204	34413	950126	0	0	0	0	401	0	0	0	0	1962069	423952	41424	71.5956239222101	12013589.0	11063463.0	92.09	950126.0	7.91	PD_117_R16_S05#_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12013589.0	0.0	20-100	51.0	21.529279689805545	99.16220406741068	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	12014467	4323997	12014467	1201446700	360345	1195594622	0.4870859439707146	0.0196	0.4745	0.506
PD_117_R5_S05#1	12150469	8395128	74216	486358	0	0	0	0	411	0	0	0	0	2711596	443112	39648	69.0930366556221	12150469.0	11664111.0	96.0	486358.0	4.0	PD_117_R5_S05#1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12150469.0	0.0	20-100	51.0	22.185728545176943	99.18564015923994	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	12150920	4166264	12150920	1215092000	831788	1208390110	0.5515541210048293	0.0187	0.4755	0.5057
PD_117_R6_S05#1	12041864	8615747	78771	473814	0	0	0	0	408	0	0	0	0	2372457	459602	41065	71.54828355477191	12041864.0	11568050.0	96.07	473814.0	3.93	PD_117_R6_S05#1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12041864.0	0.0	20-100	51.0	22.487313057428075	99.18818830705943	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	12042328	4368281	12042328	1204232800	378534	1198273910	0.4948287407551098	0.0186	0.4635	0.5179
PD_117_R7_S05#1	12003017	8344061	74824	466370	0	0	0	0	385	0	0	0	0	2639882	440282	37213	69.51636409412734	12003017.0	11536647.0	96.11	466370.0	3.89	PD_117_R7_S05#1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12003017.0	0.0	20-100	51.0	20.559200520361	99.16163044674518	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	12003472	4104028	12003472	1200347200	791628	1193777017	0.547356881408979	0.0175	0.4629	0.5196
PD_117_R8_S05#1	12011659	8316978	85478	474987	0	0	0	0	465	0	0	0	0	2668149	424922	40680	69.24087671819521	12011659.0	11536672.0	96.05	474987.0	3.95	PD_117_R8_S05#1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12011659.0	0.0	20-100	51.0	21.14141165316597	99.15430849310656	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	12012079	4123830	12012079	1201207900	829438	1194571001	0.5525187604910023	0.0177	0.4741	0.5082
PD_117_R9_S05#1	12071344	8393424	96373	484103	0	0	0	0	364	0	0	0	0	2628929	429525	38626	69.53181021102537	12071344.0	11587241.0	95.99	484103.0	4.01	PD_117_R9_S05#1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12071344.0	0.0	20-100	51.0	22.188722887578848	99.18615242842884	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	12071755	4409743	12071755	1207175500	357053	1201201473	0.4948764284894781	0.0177	0.471	0.5113
PD_121_R10_S05#	12086834	8609072	89814	471143	0	0	0	0	692	0	0	0	0	2462023	407220	46870	71.22685725641637	12086834.0	11615691.0	96.1	471143.0	3.9	PD_121_R10_S05#_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12086834.0	0.0	20-100	51.0	19.483513986981876	99.18988016216652	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	12087277	4420842	12087277	1208727700	346889	1202732109	0.4960249525182553	0.0156	0.439	0.5453
PD_121_R11_S05#	12064572	8167914	73801	549089	0	0	0	0	581	0	0	0	0	2840417	393000	39770	67.70164743515144	12064572.0	11515483.0	95.45	549089.0	4.55	PD_121_R11_S05#_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12064572.0	0.0	20-100	51.0	18.502620575944714	99.19167045461704	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	12065054	4167356	12065054	1206505400	455856	1200175351	0.5246598150327383	0.0157	0.4841	0.5003
PD_121_R12_S05#	12025491	7701618	69325	553139	0	0	0	0	503	0	0	0	0	3283777	381044	36085	64.04410431141648	12025491.0	11472352.0	95.4	553139.0	4.6	PD_121_R12_S05#_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12025491.0	0.0	20-100	52.0	19.489340619537387	99.17090137941145	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	12026053	4198991	12026053	1202605300	511748	1196167119	0.5353527878182476	0.0156	0.5139	0.4705
PD_121_R13_S05#	12144342	8989934	50372	538205	0	0	0	0	525	0	0	0	0	2054113	467557	43636	74.02569855163829	12144342.0	11606137.0	95.57	538205.0	4.43	PD_121_R13_S05#_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12144342.0	0.0	20-100	51.0	21.541441273786678	99.19649594848366	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	12145126	4139914	12145126	1214512600	498729	1208178727	0.5215156269272134	0.0206	0.445	0.5344
PD_121_R14_S05#	12084114	8700932	58936	496769	0	0	0	0	603	0	0	0	0	2339023	445157	42694	72.00306120912133	12084114.0	11587345.0	95.89	496769.0	4.11	PD_121_R14_S05#_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12084114.0	0.0	20-100	51.0	20.066914738985915	99.18648946873556	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	12084713	4103314	12084713	1208471300	492698	1202213072	0.5178631879797229	0.0199	0.4513	0.5289
PD_121_R15_S05#	12036293	8234908	145527	488476	0	0	0	0	469	0	0	0	0	2701722	425645	39546	68.41731087802532	12036293.0	11547817.0	95.94	488476.0	4.06	PD_121_R15_S05#_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12036293.0	0.0	20-100	52.0	21.02870453053369	99.18035179103732	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	12036650	4436562	12036650	1203665000	333807	1197630170	0.5013712287056614	0.0169	0.4683	0.5148
PD_121_R16_S05#	12106572	8070842	106332	509080	0	0	0	0	436	0	0	0	0	2966959	413483	39440	66.66496511151134	12106572.0	11597492.0	95.8	509080.0	4.2	PD_121_R16_S05#_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12106572.0	0.0	20-100	52.0	21.19217114122555	99.17468297384264	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	12106917	4501821	12106917	1210691700	350313	1204578774	0.5049118615416295	0.0163	0.479	0.5047
PD_121_R5_S05#2	12033609	7371886	142896	502720	0	0	0	0	989	0	0	0	0	3577130	403057	34931	61.26080712777024	12033609.0	11530889.0	95.82	502720.0	4.18	PD_121_R5_S05#2_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12033609.0	0.0	20-100	52.0	20.445767315274924	99.29943311270958	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	12033728	3764041	12033728	1203372800	353897	1198194818	0.4302891007674429	0.0185	0.5029	0.4786
PD_121_R6_S05#2	12147640	8019599	92766	503131	0	0	0	0	806	0	0	0	0	3076215	413793	41330	66.01775324260515	12147640.0	11644509.0	95.86	503131.0	4.14	PD_121_R6_S05#2_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12147640.0	0.0	20-100	52.0	21.606952086077825	99.18273030810924	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	12148145	4465438	12148145	1214814500	368100	1208764105	0.4980509369949074	0.0174	0.4884	0.4942
PD_121_R7_S05#2	12018595	7436333	88316	576053	0	0	0	0	881	0	0	0	0	3481699	399318	35995	61.87356342401088	12018595.0	11442542.0	95.21	576053.0	4.79	PD_121_R7_S05#2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12018595.0	0.0	20-100	51.0	18.80918322214101	99.20436956233236	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	12019116	4134130	12019116	1201911600	405912	1195702698	0.5165855791723785	0.0205	0.484	0.4956
PD_121_R8_S05#2	12108175	8154252	61862	494501	0	0	0	0	583	0	0	0	0	2946070	412751	38156	67.34501277029776	12108175.0	11613674.0	95.92	494501.0	4.08	PD_121_R8_S05#2_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12108175.0	0.0	20-100	52.0	20.0266678917947	99.1727765745044	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	12108775	4501367	12108775	1210877500	366603	1204794681	0.5023480079529101	0.0174	0.4699	0.5126
PD_121_R9_S05#2	12082177	8828166	57811	488332	0	0	0	0	509	0	0	0	0	2233307	430701	43351	73.067676462611	12082177.0	11593845.0	95.96	488332.0	4.04	PD_121_R9_S05#2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12082177.0	0.0	20-100	51.0	20.49236124135435	99.1817360397882	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	12082675	4144255	12082675	1208267500	554888	1201850541	0.5310876109801844	0.0178	0.4287	0.5535
PD_122_R10_S05#	12105595	8582703	62068	513140	0	0	0	0	581	0	0	0	0	2502675	402638	41790	70.89864645232225	12105595.0	11592455.0	95.76	513140.0	4.24	PD_122_R10_S05#_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12105595.0	0.0	20-100	51.0	19.653574431044618	99.17579069843325	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	12106165	4391425	12106165	1210616500	359978	1204669372	0.491247888988792	0.0161	0.4538	0.5301
PD_122_R11_S05#	12045043	7935927	76669	563060	0	0	0	0	499	0	0	0	0	3037553	394795	36540	65.88541859086763	12045043.0	11481983.0	95.33	563060.0	4.67	PD_122_R11_S05#_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12045043.0	0.0	20-100	52.0	18.80181852143401	99.16159502294845	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	12045529	4561036	12045529	1204552900	335659	1198431645	0.5081765192711752	0.0159	0.4787	0.5054
PD_122_R12_S05#	12015590	7497289	71283	542597	0	0	0	0	451	0	0	0	0	3492859	378558	32553	62.39634508168138	12015590.0	11472993.0	95.48	542597.0	4.52	PD_122_R12_S05#_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12015590.0	0.0	20-100	51.0	19.39245494770446	99.14591110382428	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	12016075	4203696	12016075	1201607500	802086	1194849127	0.5624443089777652	0.0167	0.5212	0.4621
PD_122_R13_S05#	12073871	8489373	44470	475574	0	0	0	0	461	0	0	0	0	2569832	454948	39213	70.31194055328237	12073871.0	11598297.0	96.06	475574.0	3.94	PD_122_R13_S05#_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12073871.0	0.0	20-100	51.0	20.92111191257059	99.1599342083413	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	12074598	4386771	12074598	1207459800	359772	1201490850	0.4943394388782136	0.0201	0.4602	0.5197
PD_122_R14_S05#	12124105	8663849	51886	530341	0	0	0	0	522	0	0	0	0	2404798	433851	38858	71.45969949946821	12124105.0	11593764.0	95.63	530341.0	4.37	PD_122_R14_S05#_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12124105.0	0.0	20-100	51.0	22.241164609661208	99.18179708935216	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	12124655	4122151	12124655	1212465500	781405	1205878914	0.5432390447398296	0.0192	0.4538	0.527
PD_122_R15_S05#	12030704	8127012	102579	521650	0	0	0	0	365	0	0	0	0	2821765	420651	36682	67.55225629356354	12030704.0	11509054.0	95.66	521650.0	4.34	PD_122_R15_S05#_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12030704.0	0.0	20-100	52.0	23.37446636083499	99.18639507712932	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	12031042	4167206	12031042	1203104200	790587	1196437885	0.5540929040061534	0.0182	0.4752	0.5065
PD_122_R16_S05#	12046225	7995918	79525	506587	0	0	0	0	325	0	0	0	0	3001603	426153	36114	66.37696041706012	12046225.0	11539638.0	95.79	506587.0	4.21	PD_122_R16_S05#_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12046225.0	0.0	20-100	51.0	21.250700858433216	99.14749907128582	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	12046588	4173462	12046588	1204658800	838783	1197937751	0.5579213798961167	0.0186	0.4857	0.4957
PD_122_R5_S05#2	12028587	7242228	138858	493751	0	0	0	0	1050	0	0	0	0	3721281	395727	35692	60.20846837621077	12028587.0	11534836.0	95.9	493751.0	4.1	PD_122_R5_S05#2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12028587.0	0.0	20-100	51.0	18.58341338555752	99.20703903126775	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	12028988	4576627	12028988	1202898800	349952	1196740179	0.5119816396857325	0.0166	0.4976	0.4858
PD_122_R6_S05#2	12028644	7685515	101178	487532	0	0	0	0	591	0	0	0	0	3314703	400914	38211	63.89344468088007	12028644.0	11541112.0	95.95	487532.0	4.05	PD_122_R6_S05#2_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12028644.0	0.0	20-100	52.0	20.012930879319583	99.17244470781576	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	12029038	4501554	12029038	1202903800	335958	1196855932	0.5027723746487458	0.0164	0.4948	0.4888
PD_122_R7_S05#2	12120695	6928267	64904	510894	0	0	0	0	796	0	0	0	0	4205813	374975	35046	57.16064136586228	12120695.0	11609801.0	95.78	510894.0	4.22	PD_122_R7_S05#2_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12120695.0	0.0	20-100	52.0	18.9706954263345	99.14913608501824	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	12121169	4213078	12121169	1212116900	469978	1205729801	0.526937542080306	0.0172	0.509	0.4739
