# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "1" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "IC2_cds.txt" "IC2.bam" 
Geneid	Chr	Start	End	Strand	Length	IC2.bam
b0001	NC_000913.3	190	255	+	66	5400
b0002	NC_000913.3	337	2799	+	2463	50558
b0003	NC_000913.3	2801	3733	+	933	12832
b0004	NC_000913.3	3734	5020	+	1287	13824
b0005	NC_000913.3	5234	5530	+	297	168
b0006	NC_000913.3	5683	6459	-	777	763
b0007	NC_000913.3	6529	7959	-	1431	226
b0008	NC_000913.3	8238	9191	+	954	12583
b0009	NC_000913.3	9306	9893	+	588	260
b0010	NC_000913.3	9928	10494	-	567	234
b0011	NC_000913.3	10643	11356	-	714	51
b0012	NC_000913.3	10830	11315	+	486	0
b0013	NC_000913.3	11382	11786	-	405	4
b0014	NC_000913.3	12163	14079	+	1917	11232
b0015	NC_000913.3	14168	15298	+	1131	1323
b0016	NC_000913.3	15445	16557	+	1113	438
b0018	NC_000913.3	16751	16960	-	210	30
b4412	NC_000913.3	16751	16903	-	153	0
b0019	NC_000913.3	17489	18655	+	1167	2441
b0020	NC_000913.3	18715	19620	+	906	818
b0021	NC_000913.3	19811	20314	-	504	9
b0022	NC_000913.3	20233	20508	-	276	16
b0023	NC_000913.3	20815	21078	-	264	9785
b0024	NC_000913.3	21181	21399	+	219	80
b0025	NC_000913.3	21407	22348	+	942	3033
b0026	NC_000913.3	22391	25207	+	2817	14206
b0027	NC_000913.3	25207	25701	+	495	1830
b0028	NC_000913.3	25826	26275	+	450	974
b0029	NC_000913.3	26277	27227	+	951	1663
b0030	NC_000913.3	27293	28207	+	915	83
b0031	NC_000913.3	28374	29195	+	822	1356
b0032	NC_000913.3	29651	30799	+	1149	4255
b0033	NC_000913.3	30817	34038	+	3222	8163
b0034	NC_000913.3	34300	34695	+	396	171
b0035	NC_000913.3	34781	35371	-	591	18
b0036	NC_000913.3	35377	36162	-	786	20
b0037	NC_000913.3	36271	37824	-	1554	113
b0038	NC_000913.3	37898	39115	-	1218	63
b0039	NC_000913.3	39244	40386	-	1143	123
b0040	NC_000913.3	40417	41931	-	1515	24
b0041	NC_000913.3	42403	43173	+	771	13
b0042	NC_000913.3	43188	44129	+	942	9
b0043	NC_000913.3	44180	45466	+	1287	20
b0044	NC_000913.3	45463	45750	+	288	4
b0045	NC_000913.3	45807	47138	+	1332	18
b0046	NC_000913.3	47246	47776	+	531	179
b0047	NC_000913.3	47769	49631	+	1863	580
b0048	NC_000913.3	49823	50302	+	480	704
b0049	NC_000913.3	50380	51222	-	843	719
b0050	NC_000913.3	51229	51606	-	378	915
b0051	NC_000913.3	51609	52430	-	822	2092
b0052	NC_000913.3	52427	53416	-	990	1196
b0053	NC_000913.3	53416	54702	-	1287	5635
b0054	NC_000913.3	54755	57109	-	2355	9437
b0055	NC_000913.3	57364	58179	+	816	698
b0056	NC_000913.3	58474	59124	+	651	578
b0057	NC_000913.3	59121	59279	+	159	162
b0058	NC_000913.3	59687	60346	-	660	482
b0059	NC_000913.3	60358	63264	-	2907	1821
b0060	NC_000913.3	63429	65780	-	2352	442
b0061	NC_000913.3	65855	66550	-	696	8
b0062	NC_000913.3	66835	68337	-	1503	52
b0063	NC_000913.3	68348	70048	-	1701	47
b0064	NC_000913.3	70387	71265	+	879	528
b0065	NC_000913.3	71351	72115	+	765	364
b0066	NC_000913.3	72229	72927	-	699	233
b0067	NC_000913.3	72911	74521	-	1611	646
b0068	NC_000913.3	74497	75480	-	984	1295
b0069	NC_000913.3	75644	77299	-	1656	381
b4662	NC_000913.3	77388	77519	+	132	333
b0070	NC_000913.3	77621	78799	+	1179	422
b0071	NC_000913.3	78848	79453	-	606	9988
b0072	NC_000913.3	79464	80864	-	1401	18204
b0073	NC_000913.3	80867	81958	-	1092	13207
b0074	NC_000913.3	81958	83529	-	1572	19398
b0075	NC_000913.3	83622	83708	-	87	915
b0076	NC_000913.3	84368	85312	+	945	155
b4726	NC_000913.3	85467	85511	-	45	0
b0077	NC_000913.3	85630	87354	+	1725	4251
b0078	NC_000913.3	87357	87848	+	492	2056
b0080	NC_000913.3	88028	89032	+	1005	1047
b0081	NC_000913.3	89634	90092	+	459	2789
b0082	NC_000913.3	90094	91035	+	942	2446
b0083	NC_000913.3	91032	91397	+	366	954
b0084	NC_000913.3	91413	93179	+	1767	2401
b0085	NC_000913.3	93166	94653	+	1488	3202
b0086	NC_000913.3	94650	96008	+	1359	2168
b0087	NC_000913.3	96002	97084	+	1083	1761
b0088	NC_000913.3	97087	98403	+	1317	2547
b0089	NC_000913.3	98403	99647	+	1245	2051
b0090	NC_000913.3	99644	100711	+	1068	1660
b0091	NC_000913.3	100765	102240	+	1476	3055
b0092	NC_000913.3	102233	103153	+	921	3049
b0093	NC_000913.3	103155	103985	+	831	2625
b0094	NC_000913.3	103982	105244	+	1263	4229
b0095	NC_000913.3	105305	106456	+	1152	8590
b0096	NC_000913.3	106557	107474	+	918	15745
b0097	NC_000913.3	107705	108217	+	513	1099
b0098	NC_000913.3	108279	110984	+	2706	5384
b0099	NC_000913.3	111044	111433	+	390	128
b0101	NC_000913.3	111649	111846	-	198	419
b0102	NC_000913.3	111856	112599	-	744	836
b0103	NC_000913.3	112599	113219	-	621	745
b4727	NC_000913.3	113244	113288	+	45	0
b0104	NC_000913.3	113444	114487	+	1044	2907
b0106	NC_000913.3	114522	115724	-	1203	68
b0107	NC_000913.3	115714	117099	-	1386	103
b0108	NC_000913.3	117109	117549	-	441	3
b0109	NC_000913.3	117752	118645	-	894	980
b0110	NC_000913.3	118733	119284	+	552	464
b0111	NC_000913.3	119281	120135	+	855	593
b0112	NC_000913.3	120178	121551	-	1374	6258
b0113	NC_000913.3	122092	122856	+	765	2556
b0114	NC_000913.3	123017	125680	+	2664	39114
b0115	NC_000913.3	125695	127587	+	1893	21415
b0116	NC_000913.3	127912	129336	+	1425	20350
b0117	NC_000913.3	129407	131260	-	1854	48
b0118	NC_000913.3	131615	134212	+	2598	16621
b0119	NC_000913.3	134388	134750	+	363	653
b0120	NC_000913.3	134788	135582	-	795	1972
b0121	NC_000913.3	135598	136464	-	867	1706
b0122	NC_000913.3	136570	136917	-	348	633
b0123	NC_000913.3	137083	138633	+	1551	485
b0124	NC_000913.3	138835	141225	-	2391	6844
b0125	NC_000913.3	141431	141967	+	537	1552
b0126	NC_000913.3	142008	142670	-	663	10884
b0127	NC_000913.3	142779	143705	+	927	732
b0128	NC_000913.3	143702	144472	+	771	562
b0129	NC_000913.3	144577	145017	+	441	58
b0130	NC_000913.3	145081	146310	+	1230	199
b0131	NC_000913.3	146314	146694	-	381	4120
b0132	NC_000913.3	146968	147870	+	903	98
b0133	NC_000913.3	147944	148795	-	852	4225
b0134	NC_000913.3	148807	149601	-	795	2017
b0135	NC_000913.3	149715	150953	-	1239	31
b0136	NC_000913.3	151003	151599	-	597	30
b0137	NC_000913.3	151626	152231	-	606	27
b0138	NC_000913.3	152243	152812	-	570	32
b0139	NC_000913.3	152829	155426	-	2598	74
b0140	NC_000913.3	155461	156201	-	741	9
b0141	NC_000913.3	156299	156883	-	585	2
b0142	NC_000913.3	157253	157732	-	480	271
b0143	NC_000913.3	157729	159126	-	1398	3624
b0144	NC_000913.3	159186	160112	-	927	275
b0145	NC_000913.3	160149	160604	-	456	8810
b0146	NC_000913.3	160782	161486	-	705	688
b0147	NC_000913.3	161501	162031	-	531	171
b0148	NC_000913.3	162105	164534	+	2430	1042
b0149	NC_000913.3	164730	167264	+	2535	2144
b0150	NC_000913.3	167484	169727	+	2244	10857
b0151	NC_000913.3	169778	170575	+	798	721
b0152	NC_000913.3	170575	171465	+	891	637
b0153	NC_000913.3	171462	173444	+	1983	936
b0154	NC_000913.3	173602	174882	-	1281	3764
b0155	NC_000913.3	175107	176528	+	1422	1511
b4728	NC_000913.3	176552	176617	+	66	9
b0156	NC_000913.3	176610	176954	+	345	1507
b0157	NC_000913.3	177001	177624	-	624	188
b0158	NC_000913.3	177662	178462	-	801	210
b0159	NC_000913.3	178455	179153	-	699	2852
b0160	NC_000913.3	179237	180754	+	1518	829
b0161	NC_000913.3	180884	182308	+	1425	2078
b0162	NC_000913.3	182463	183620	+	1158	128
b0163	NC_000913.3	183709	184095	-	387	3044
b0164	NC_000913.3	184257	185069	-	813	75
b0166	NC_000913.3	185123	185947	-	825	8206
b0167	NC_000913.3	185978	188650	-	2673	1975
b0168	NC_000913.3	188712	189506	-	795	3769
b0169	NC_000913.3	189874	190599	+	726	21637
b0170	NC_000913.3	190857	191708	+	852	12906
b0171	NC_000913.3	191855	192580	+	726	1444
b0172	NC_000913.3	192872	193429	+	558	5522
b0173	NC_000913.3	193521	194717	+	1197	787
b0174	NC_000913.3	194903	195664	+	762	2246
b0175	NC_000913.3	195677	196534	+	858	1635
b0176	NC_000913.3	196546	197898	+	1353	3830
b0177	NC_000913.3	197928	200360	+	2433	9688
b0178	NC_000913.3	200482	200967	+	486	7849
b0179	NC_000913.3	200971	201996	+	1026	8698
b0180	NC_000913.3	202101	202556	+	456	4444
b0181	NC_000913.3	202560	203348	+	789	4921
